tender_id,type,start,tender_class,tender_pwh,tender_info,start_price,address,region,end
№85718559,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка хозяйственных товаров электротовары,285542,г. Курган,Курганская область,18.08.2025
№85718560,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки","Установка средств организации дорожного движения, местоположение: Оренбургская область, г. Новотроицк, ул. Гагарина",701704,г. Новотроицк,Оренбургская область,15.08.2025
№85718554,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Организация работ по поверке приборов учета водоснабжения и теплоснабжения,414100,"г. Талдом,  рабочий поселок Запрудня; г. Дубна; г. Талдом,  рабочий поселок Вербилки; г. Талдом,  рабочий поселок Северный",Московская область,18.08.2025
№85718576,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,"Монитор, подключаемый к компьютеру",,Севастополь,Севастополь город,13.08.2025
№85718574,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Системный блок,,Севастополь,Севастополь город,13.08.2025
№85718575,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",Запросы и мониторинг цен - процедуры определения начальной цены для последующей публикации закупок или сбор предложений для заключения прямых контрактов,Системный блок,,Севастополь,Севастополь город,13.08.2025
№85718572,Тендер,10.08.25,"Тендеры, проводимые в рамках 223-ФЗ ""О закупках товаров, работ, услуг отдельными видами юридических лиц""","Аукционы - это закупочные процедуры, в которых выбор поставщика осуществляется по результатам торгов. Победителем станет участник, предложивший минимальную цену в ходе аукциона",Поставка канцелярских товаров (дырокол),5392,г. Альметьевск,Татарстан республика,18.08.2025
№85718571,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.","ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ",61750,г. Москва,Москва город,12.08.2025
№85718570,Тендер,10.08.25,"Тендеры, не регулируемые специальными законами о закупках (44-ФЗ, 223-ФЗ, ПП 615)","Закупка малого объема - это осуществление заказчиком закупки работы, товара или услуги на сумму, которая не превышает шестьсот тысяч рублей (в отдельных случаях три млн рублей). Закупка проводится по упрощенной процедуре, при которой заказчик сам определяет исполнителя.",Поставка лекарственных препаратов,,г. Новомичуринск,Рязанская область,11.08.2025
№85718566,Тендер,10.08.25,"Тендеры, размещённые государственными и муниципальными заказчиками в рамках 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""","Запросы котировок и предложений - это процедура выбора поставщика, где победителем признаётся поставщик, соответствующий заявленным требованиям и предложивший наименьшую цену или лучшие условия поставки",Поставка энтерального питания,730800,г. Екатеринбург,Свердловская область,15.08.2025
